record_type,scenario_id,scenario_seed,steps_executed,termination,extinguished_at_step,burned_cells,burned_percent,cell_updates,initialization_seconds,simulation_seconds,step_compute_seconds,swap_seconds,mean_step_seconds,min_step_seconds,max_step_seconds,total_core_seconds,throughput_cell_updates_per_second,mean_scenario_seconds,completed_scenarios,extinguished_scenarios,max_steps_scenarios,valid_cells,nodata_cells,non_combustible_cells,initially_combustible_cells,burned_hectares,combustible_burned_percent,terrain_load_seconds
scenario,10,14498551043408648267,1024,max_steps,-1,878901,83.818531036376953125,1073741824,0.0324146510000000026563427013571,4.18394186599999962083984428318,4.18240121900000172416866917047,0.00143548100000000103740327439539,0.0040858807285156246297264104328,0.00336148199999999983816900694933,0.00493369199999999993866417469235,4.21635651699999947084052109858,256634020.832257926464080810547,,,,,1048576,0,52659,995917,,88.250426491364237335801590234,
scenario,11,10294643696719854755,1024,max_steps,-1,880720,83.99200439453125,1073741824,0.031973314000000002677026600395,4.2200704660000001311459527642,4.21914055600000281742723018397,0.000825059999999999205480549768765,0.00412116256445312512807221949629,0.0033534469999999998515716193026,0.00671320400000000039320013911492,4.25204378000000016157855498022,254436941.906742066144943237305,,,,,1048576,0,52152,996424,,88.3880757589138710272891330533,
scenario,12,4272874766824154803,1024,max_steps,-1,880983,84.017086029052734375,1073741824,0.0322326750000000022966517576606,4.20479590600000019406934370636,4.203238948999995727717760019,0.001457945000000001071691069221,0.00410624600195312518952084346324,0.00335897699999999996972599447531,0.00690775299999999998351585261958,4.23702858100000057106626627501,255361222.757050484418869018555,,,,,1048576,0,52696,995880,,88.4627665983853432862815679982,
scenario,13,9800176906341358510,1024,max_steps,-1,886052,84.5005035400390625,1073741824,0.0317761299999999996535038349066,4.20402284199999964897642712458,4.20309078500000676825720802299,0.00082827400000000026263763386325,0.00410549105664062465720354211385,0.00336445699999999995113975082006,0.00641986899999999992283417071803,4.23579897199999955148541630479,255408180.296466648578643798828,,,,,1048576,0,52107,996469,,88.9191736019886178610249771737,
scenario,14,3770502660363133204,1024,max_steps,-1,884912,84.39178466796875,1073741824,0.0325966850000000002429700884932,4.22728162900000015156365407165,4.22580398900000364648121831124,0.00138348899999999989940402400634,0.00412820471582031264801138092935,0.00334753500000000000710875802667,0.00685585500000000010872858169364,4.25987831399999983261750458041,254002907.361060500144958496094,,,,,1048576,0,52521,996055,,88.8416804292935609055348322727,
scenario,15,13474834929945784015,1024,max_steps,-1,885210,84.42020416259765625,1073741824,0.0325074970000000032510634184746,4.28023948999999959141860017553,4.27921578899999843770274310373,0.000917161999999999253026239376396,0.00417992137695312460099472673392,0.0033400619999999999788775628673,0.00699223299999999960835372903034,4.31274698699999969875307215261,250860220.90787264704704284668,,,,,1048576,0,52371,996205,,88.8582169332617297641263576224,
scenario,16,16019027577486070615,1024,max_steps,-1,884271,84.330654144287109375,1073741824,0.0322479849999999998444444315737,4.25477463400000033288961276412,4.25325862600000270674627245171,0.00139946600000000025143531701133,0.00415505335351562532508751246496,0.00339007600000000011361556140344,0.00653953499999999996600275053993,4.28702261900000003436161932768,252361621.087919622659683227539,,,,,1048576,0,52246,996330,,88.7528228598958150996622862294,
scenario,17,16762886090601466566,1024,max_steps,-1,878273,83.758640289306640625,1073741824,0.0315557320000000030013609375601,4.37437628500000030840055842418,4.3734162550000066360667005938,0.00085082199999999847533915797726,0.00427185184082031280117242033612,0.00336251400000000004106293083339,0.0154712249999999999078292844956,4.40593201700000047793537305552,245461696.489605933427810668945,,,,,1048576,0,52842,995734,,88.203576457166278146360127721,
scenario,18,2649783437019456885,1024,max_steps,-1,881446,84.06124114990234375,1073741824,0.0323959159999999968260198102143,4.33111132899999962120318741654,4.32962188700000005781021172879,0.00138045700000000116577925091121,0.00422960090722656213008123771147,0.00334927900000000014490986188775,0.00689371699999999972691133720559,4.36350724499999920169557299232,247913697.533125698566436767578,,,,,1048576,0,52199,996377,,88.4651090902339234389728517272,
scenario,19,7204738870280956452,1024,max_steps,-1,880728,83.992767333984375,1073741824,0.032302438000000002760181416761,4.20348418900000009301720638177,4.20240810999999414576677736477,0.000973126999999999304190312354734,0.0041049650283203125908371156072,0.00334615199999999980706721913748,0.0157335720000000012230856327733,4.23578662700000041496650737827,255440909.426958233118057250977,,,,,1048576,0,52689,995887,,88.4365394869096661523144575767,
batch,,,,,,,84.189434051513671875,21474836480,0.653896250000000178737025180453,84.5030975469999816596100572497,84.4767924930000049243972171098,0.0241716090000000105586508425404,0.00412612780991210813252845213128,,,85.1569937969999841698154341429,254130760.923359751701354980469,4.2578496898499995637621395872,20,0,20,,,,,,,0
