record_type,scenario_id,scenario_seed,steps_executed,termination,extinguished_at_step,burned_cells,burned_percent,cell_updates,initialization_seconds,simulation_seconds,step_compute_seconds,swap_seconds,mean_step_seconds,min_step_seconds,max_step_seconds,total_core_seconds,throughput_cell_updates_per_second,mean_scenario_seconds,completed_scenarios,extinguished_scenarios,max_steps_scenarios
scenario,10,14498551043408648267,132,extinguished,132,668,0.25482177734375,34603008,0.0389665419999999998457163030707,2.16394041599999997771419657511,2.16390941799999980688085088332,3.20700000000000376922820212455e-06,0.0163934880000000011979199854295,0.0159832079999999987496295261735,0.0185190840000000016274395164828,2.2029069579999998040875652805,15990739.7376324068754911422729,,,,
scenario,11,10294643696719854755,500,max_steps,-1,12598,4.805755615234375,131072000,0.0388671660000000016021992621518,8.07383504200000068351528170751,8.07373428000000359361365553923,9.96200000000001405675749410751e-06,0.0161476700840000007841634754868,0.0151309170000000006717222333918,0.035802332999999998686124769165,8.11270220799999997041140886722,16234168.6841711401939392089844,,,,
scenario,12,4272874766824154803,6,extinguished,6,2,0.000762939453125,1572864,0.0379282920000000023375008595394,0.0955231250000000003952393967666,0.0955220829999999937465204880027,1.24999999999999994343513978236e-07,0.0159205208333333333992065661278,0.0157670419999999984750349568685,0.0160350000000000006417089082333,0.13345141700000001661052806412,16465792.9689800236374139785767,,,,
scenario,13,9800176906341358510,500,max_steps,-1,9224,3.5186767578125,131072000,0.0381797089999999991749568550858,8.17954208299999940834368317155,8.17942192199999773549734527478,1.32550000000000331809189499377e-05,0.0163590841659999979007533710273,0.0156617089999999993532586728406,0.0341057920000000028282194364238,8.21772179199999897036832408048,16024368.9279885590076446533203,,,,
scenario,14,3770502660363133204,500,max_steps,-1,6000,2.288818359375,131072000,0.0389525000000000010125233984581,8.12063208400000036135679692961,8.12049399899999890806157054612,9.86700000000000903709225508198e-06,0.016241264168000001111291652478,0.0154207909999999996653041733907,0.0486017499999999991189270076575,8.15958458400000097299198387191,16140615.4895565137267112731934,,,,
scenario,15,13474834929945784015,5,extinguished,5,1,0.0003814697265625,1310720,0.0378725000000000033839597790575,0.0797575830000000068897847427252,0.0797567920000000069036261152178,1.2599999999999999006309735379e-07,0.0159515165999999999901781677636,0.0158386249999999985382803657785,0.0162038749999999995288213483491,0.117630083000000010273744521783,16433797.8998185023665428161621,,,,
scenario,16,16019027577486070615,3,extinguished,3,1,0.0003814697265625,786432,0.0377647499999999997077892999187,0.0480577079999999975945534913535,0.0480572070000000045597587927659,4.19999999999999988935140847381e-08,0.0160192359999999991981844971178,0.0158017499999999998239186282945,0.0162665419999999984190797164274,0.0858224579999999903634488873649,16364325.9890796300023794174194,,,,
scenario,17,16762886090601466566,500,max_steps,-1,4043,1.5422821044921875,131072000,0.0383323330000000031536622202566,7.9640415840000002845044946298,7.96395550100000182425219463767,9.01000000000001029665935847746e-06,0.0159280831680000019290321944254,0.0155140829999999996929860301975,0.0409072080000000004584848056766,8.00237391699999989214120432734,16457975.3404763229191303253174,,,,
scenario,18,2649783437019456885,4,extinguished,4,1,0.0003814697265625,1048576,0.0384565830000000025146178472824,0.0648683330000000002435456281091,0.0648673329999999992434567275268,1.23000000000000002904347227127e-07,0.0162170832500000000608864070273,0.0160444580000000010244765036305,0.0163105830000000000257198706777,0.103324916000000002758163475391,16164682.3882463574409484863281,,,,
scenario,19,7204738870280956452,291,extinguished,291,2167,0.8266448974609375,76283904,0.0383243340000000015654890717087,4.58623287500000031968738767318,4.58619017200000200773502001539,4.37300000000000539570731844519e-06,0.0157602504295532644396082844196,0.015512042000000000191439752939,0.0163085419999999987894501174424,4.62455720900000066819757194025,16633238.2325875665992498397827,,,,
